question,answer
Who is the Head of the Department of Accounting and Finance?,"The Department of Accounting and Finance at the Institute of Business, Management and Administrative Sciences, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, offers programs in accounting and finance."
Who is the Principal of the University College of Nursing at IUB?,"Dr. Farhan Mukhtar serves as the Principal of the University College of Nursing at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Dean of the Faculty of Medicine and Allied Health Sciences at IUB?,"Prof. Dr. Rao Saeed Ahmed serves as the Dean of the Faculty of Medicine and Allied Health Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Principal of the University College of Nursing at IUB?,"Dr. Farhan Mukhtar serves as the Principal and Associate Professor of the University College of Nursing at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Dean of the Faculty of Medicine and Allied Health Sciences at IUB?,"Prof. Dr. Rao Saeed Ahmed serves as the Dean of the Faculty of Medicine and Allied Health Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Principal of the University College of Nursing at IUB?,"Dr. Farhan Mukhtar serves as the Principal and Associate Professor of the University College of Nursing at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Dean of the Faculty of Medicine and Allied Health Sciences at IUB?,"Prof. Dr. Rao Saeed Ahmed serves as the Dean of the Faculty of Medicine and Allied Health Sciences at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
Who is the Dean of the Faculty of Veterinary and Animal Sciences at IUB?,Prof. Dr. Muhammad Khalid Mansoor serves as the Dean of the Faculty of Veterinary and Animal Sciences at the Islamia University of Bahawalpur.
Who is the Incharge of the Department of Medical Laboratory Technology?,"Dr. Quratul Ain serves as the Incharge of the Department of Medical Laboratory Technology at the Faculty of Medicine and Allied Health Sciences, Islamia University of Bahawalpur."
Who is the Incharge of the Department of Physical Therapy?,"Dr. Ayesha Bashir serves as the Incharge of the Department of Physical Therapy at the Faculty of Medicine and Allied Health Sciences, Islamia University of Bahawalpur."
Who is the Incharge of the Department of Human Nutrition and Dietetics?,"The Department of Human Nutrition and Dietetics at the Faculty of Medicine and Allied Health Sciences, Islamia University of Bahawalpur, is one of the newly introduced departments at the faculty."
Who is the Incharge of the Department of Forensic Science?,"The Department of Forensic Science at the Faculty of Medicine and Allied Health Sciences, Islamia University of Bahawalpur, is one of the recently established departments at the faculty."
Who is the Dean of the Faculty of Engineering and Technology at IUB?,Prof. Dr. Muhammad Amjad serves as the Dean of the Faculty of Engineering and Technology at the Islamia University of Bahawalpur. He inaugurated the IEEE Annual Engineering Project Exhibition (AEPE) 2025 at Baghdad ul Jadeed Campus.
Who is the Dean of the Faculty of Computing at IUB?,"The Faculty of Computing at Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur, is one of the 13 faculties functioning at the university, offering programs in Computer Science, Information Technology, and Software Engineering."
Who is the Chairman of the Department of Soil Science at IUB?,"The Department of Soil Science operates under the Institute of Soil and Water Resources at the Faculty of Agriculture and Environment, Baghdad-ul-Jadeed Campus, Islamia University of Bahawalpur."
